rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year,rank_n,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n,trend_category
79,Korea Advanced Institute of Science and Technology (KAIST),59.5,71.3,63.4,45.5,100.0,36.7,9027,0.1,0.09,2011,0.0349,0.5985,0.6896,0.633,0.4495,1.0,0.3186,0.0049,0.0104,0.0909,Stable
86,London School of Economics and Political Science,58.3,62.4,56.2,51.6,38.4,99.5,24413,0.16,0.2,2011,0.0381,0.5854,0.5923,0.5602,0.5111,0.384,0.9946,0.0134,0.0173,0.202,Stable
87,University of Manchester,58.0,56.5,56.2,59.2,39.0,79.1,34938,0.15,0.34,2011,0.0385,0.5822,0.5279,0.5602,0.5879,0.39,0.775,0.0191,0.0162,0.3434,Stable
90,University of Southampton,57.7,50.8,47.8,72.9,37.7,69.0,20925,0.14,0.29,2011,0.0399,0.5789,0.4656,0.4752,0.7263,0.377,0.6663,0.0115,0.015,0.2929,Stable
91,University of Zurich,57.7,56.6,47.0,65.0,43.8,87.9,26583,0.07,0.19,2011,0.0403,0.5789,0.529,0.4671,0.6465,0.438,0.8698,0.0146,0.0069,0.1919,Stable
93,McMaster University,57.6,44.7,58.7,68.5,50.9,53.3,23823,0.19,0.15,2011,0.0412,0.5778,0.3989,0.5854,0.6818,0.509,0.4973,0.0131,0.0208,0.1515,Stable
95,George Washington University,57.3,60.6,43.1,70.2,50.8,39.6,20541,0.12,0.16,2011,0.0421,0.5745,0.5727,0.4277,0.699,0.508,0.3498,0.0113,0.0127,0.1616,Stable
97,University of Basel,57.3,50.2,37.1,78.3,45.8,91.3,12551,0.17,0.24,2011,0.043,0.5745,0.459,0.367,0.7808,0.458,0.9064,0.0069,0.0185,0.2424,Stable
98,University of Maryland-College Park,57.2,45.4,48.6,79.2,50.6,35.4,31331,0.08,0.09,2011,0.0434,0.5734,0.4066,0.4833,0.7899,0.506,0.3046,0.0172,0.0081,0.0909,Stable
99,Dartmouth College,57.1,44.7,49.2,79.7,50.6,31.0,6178,0.07,0.16,2011,0.0439,0.5724,0.3989,0.4894,0.7949,0.506,0.2573,0.0034,0.0069,0.1616,Stable
102,University of Helsinki,56.6,49.0,51.4,75.4,30.2,24.2,23505,0.15,0.06,2011,0.0452,0.5669,0.4459,0.5116,0.7515,0.302,0.1841,0.0129,0.0162,0.0606,Stable
110,Seoul National University,56.0,62.3,54.1,54.6,43.0,44.9,26389,0.14,0.1,2011,0.0488,0.5604,0.5913,0.5389,0.5414,0.43,0.4069,0.0145,0.015,0.101,Stable
116,University of Hawai i at Mnoa,55.2,38.3,47.6,81.0,49.7,34.2,24918,0.17,0.2,2011,0.0515,0.5517,0.329,0.4732,0.8081,0.497,0.2917,0.0137,0.0185,0.202,Stable
121,Queen Mary University of London,54.6,39.7,44.1,73.5,38.9,91.0,14260,0.14,0.4,2011,0.0537,0.5452,0.3443,0.4378,0.7323,0.389,0.9031,0.0078,0.015,0.404,Stable
122,Michigan State University,54.5,50.4,52.7,63.7,49.4,30.4,44750,0.16,0.15,2011,0.0542,0.5441,0.4612,0.5248,0.6333,0.494,0.2508,0.0245,0.0173,0.1515,Stable
124,Ghent University,54.4,52.8,59.1,52.8,97.1,24.7,32166,0.34,0.09,2011,0.0551,0.543,0.4874,0.5895,0.5232,0.971,0.1895,0.0176,0.0382,0.0909,Stable
125,Lancaster University,54.4,43.5,41.9,74.9,28.8,73.8,11512,0.15,0.33,2011,0.0555,0.543,0.3858,0.4156,0.7465,0.288,0.718,0.0063,0.0162,0.3333,Stable
126,Leiden University,54.4,47.3,54.9,59.3,100.0,40.0,21222,0.17,0.1,2011,0.056,0.543,0.4273,0.547,0.5889,1.0,0.3541,0.0116,0.0185,0.101,Stable
127,University of Alberta,54.3,53.7,58.0,49.7,44.5,71.6,36299,0.22,0.23,2011,0.0564,0.5419,0.4973,0.5784,0.4919,0.445,0.6943,0.0199,0.0243,0.2323,Stable
133,University of Freiburg,53.3,52.4,41.4,64.3,79.8,46.2,26467,0.31,0.16,2011,0.0591,0.531,0.4831,0.4105,0.6394,0.798,0.4209,0.0145,0.0347,0.1616,Stable
135,University of Bergen,52.7,39.9,42.1,73.1,41.5,66.6,11623,0.11,0.12,2011,0.06,0.5245,0.3464,0.4176,0.7283,0.415,0.6405,0.0064,0.0116,0.1212,Stable
137,University of Sheffield,52.5,48.9,49.2,58.4,40.3,62.7,23311,0.15,0.31,2011,0.0609,0.5223,0.4448,0.4894,0.5798,0.403,0.5985,0.0128,0.0162,0.3131,Stable
138,University of Montreal,52.4,56.1,49.4,51.9,48.8,51.6,38264,0.2,0.25,2011,0.0614,0.5212,0.5235,0.4914,0.5141,0.488,0.479,0.021,0.022,0.2525,Stable
141,University of Dundee,52.2,34.1,41.0,79.3,49.3,54.4,11628,0.15,0.25,2011,0.0627,0.519,0.2831,0.4065,0.7909,0.493,0.5091,0.0064,0.0162,0.2525,Stable
142,University of Barcelona,52.1,34.1,33.7,91.9,30.0,22.3,47491,0.12,0.1,2011,0.0631,0.518,0.2831,0.3327,0.9182,0.3,0.1636,0.026,0.0127,0.101,Stable
143,Utrecht University,52.0,43.4,53.0,58.8,55.3,52.6,30779,0.15,0.07,2011,0.0636,0.5169,0.3847,0.5278,0.5838,0.553,0.4898,0.0169,0.0162,0.0707,Stable
145,University of Auckland,51.8,34.8,39.2,71.8,61.1,94.3,29787,0.19,0.28,2011,0.0645,0.5147,0.2907,0.3883,0.7152,0.611,0.9386,0.0163,0.0208,0.2828,Stable
148,Uppsala University,51.6,49.6,62.2,40.7,39.5,77.9,25266,0.18,0.12,2011,0.0658,0.5125,0.4525,0.6208,0.401,0.395,0.7621,0.0138,0.0197,0.1212,Stable
150,University of Aberdeen,51.4,37.8,45.2,64.6,47.0,86.1,12938,0.16,0.33,2011,0.0667,0.5103,0.3235,0.4489,0.6424,0.47,0.8504,0.0071,0.0173,0.3333,Stable
151,Delft University of Technology,51.3,55.5,67.7,29.0,99.4,47.4,15920,0.19,0.25,2011,0.0672,0.5092,0.5169,0.6764,0.2828,0.994,0.4338,0.0087,0.0208,0.2525,Stable
153,Newcastle University,51.2,42.7,42.8,63.6,31.1,80.5,20174,0.15,0.29,2011,0.0681,0.5082,0.377,0.4247,0.6323,0.311,0.7901,0.0111,0.0162,0.2929,Stable
155,Pompeu Fabra University,51.1,35.0,33.0,84.7,40.0,44.1,10901,0.18,0.13,2011,0.069,0.5071,0.2929,0.3256,0.8455,0.4,0.3983,0.006,0.0197,0.1313,Stable
156,Indiana University,51.0,48.5,42.5,63.2,48.1,37.7,62468,0.14,0.13,2011,0.0694,0.506,0.4404,0.4216,0.6283,0.481,0.3294,0.0342,0.015,0.1313,Stable
159,Erasmus University Rotterdam,50.4,39.4,43.6,65.5,48.0,58.6,20580,0.19,0.18,2011,0.0708,0.4995,0.341,0.4328,0.6515,0.48,0.5544,0.0113,0.0208,0.1818,Stable
162,Boston College,50.3,40.1,33.6,78.0,47.9,31.6,13216,0.17,0.19,2011,0.0721,0.4984,0.3486,0.3316,0.7778,0.479,0.2637,0.0072,0.0185,0.1919,Stable
164,Georgetown University,50.1,65.1,44.7,45.0,47.8,24.7,15408,0.09,0.14,2011,0.073,0.4962,0.6219,0.4439,0.4444,0.478,0.1895,0.0084,0.0092,0.1414,Stable
166,University of Liverpool,50.0,40.8,47.8,59.6,40.6,59.8,18815,0.14,0.3,2011,0.0739,0.4951,0.3563,0.4752,0.5919,0.406,0.5673,0.0103,0.015,0.303,Stable
167,Aarhus University,49.9,38.1,55.6,57.3,61.5,33.4,23895,0.14,0.14,2011,0.0743,0.494,0.3268,0.5541,0.5687,0.615,0.2831,0.0131,0.015,0.1414,Stable
168,University of Leeds,49.8,46.2,48.0,55.6,38.3,50.0,27703,0.15,0.21,2011,0.0748,0.4929,0.4153,0.4772,0.5515,0.383,0.4618,0.0152,0.0162,0.2121,Stable
171,Sun Yat-sen University,49.6,46.2,34.7,70.2,41.2,29.3,51351,0.17,0.08,2011,0.0761,0.4908,0.4153,0.3428,0.699,0.412,0.239,0.0281,0.0185,0.0808,Stable
176,University of Nottingham,49.0,46.8,44.1,52.5,38.4,74.8,30144,0.15,0.27,2011,0.0784,0.4842,0.4219,0.4378,0.5202,0.384,0.7287,0.0165,0.0162,0.2727,Stable
178,Humboldt University of Berlin,48.5,50.9,44.5,52.0,27.8,46.1,29987,0.53,0.16,2011,0.0793,0.4788,0.4667,0.4419,0.5152,0.278,0.4198,0.0164,0.0601,0.1616,Stable
180,University of Bonn,48.5,46.8,33.8,65.3,29.4,46.8,32474,0.7,0.13,2011,0.0802,0.4788,0.4219,0.3337,0.6495,0.294,0.4273,0.0178,0.0798,0.1313,Stable
184,University of Exeter,47.6,40.4,42.5,57.9,32.2,62.8,17755,0.19,0.28,2011,0.082,0.469,0.3519,0.4216,0.5747,0.322,0.5996,0.0097,0.0208,0.2828,Stable
186,University of Konstanz,47.3,42.7,40.1,51.3,47.1,93.6,10930,0.59,0.12,2011,0.0828,0.4657,0.377,0.3974,0.5081,0.471,0.9311,0.006,0.0671,0.1212,Stable
187,Karlsruhe Institute of Technology,47.2,45.0,35.4,60.7,40.0,47.3,25294,0.25,0.16,2011,0.0833,0.4646,0.4022,0.3498,0.603,0.4,0.4327,0.0139,0.0277,0.1616,Stable
194,KTH Royal Institute of Technology,46.8,49.1,56.2,29.2,100.0,64.2,12062,0.15,0.21,2011,0.0864,0.4603,0.447,0.5602,0.2848,1.0,0.6146,0.0066,0.0162,0.2121,Stable
195,University of Vienna,46.7,47.6,45.7,45.6,27.0,63.2,34651,0.2,0.25,2011,0.0869,0.4592,0.4306,0.454,0.4505,0.27,0.6039,0.019,0.022,0.2525,Stable
199,Simon Fraser University,46.2,32.9,44.2,60.2,37.9,51.9,26640,0.28,0.19,2011,0.0887,0.4538,0.2699,0.4388,0.598,0.379,0.4822,0.0146,0.0312,0.1919,Stable
2,Harvard University,93.9,95.8,97.4,99.8,35.9,67.5,20152,0.09,0.25,2012,0.0004,0.9728,0.9574,0.9767,0.998,0.359,0.6502,0.011,0.0092,0.2525,Stable
3,Stanford University,93.9,94.8,98.9,99.8,63.8,57.2,15596,0.08,0.22,2012,0.0009,0.9728,0.9464,0.9919,0.998,0.638,0.5393,0.0085,0.0081,0.2222,Stable
6,University of Cambridge,92.4,90.5,94.2,97.3,55.5,85.3,18812,0.12,0.34,2012,0.0022,0.9565,0.8995,0.9444,0.9727,0.555,0.8418,0.0103,0.0127,0.3434,Stable
7,Massachusetts Institute of Technology,92.3,92.7,87.4,100.0,94.4,79.2,11074,0.09,0.33,2012,0.0027,0.9554,0.9235,0.8756,1.0,0.944,0.7761,0.0061,0.0092,0.3333,Stable
10,University of California-Berkeley,89.8,82.8,99.4,99.4,62.5,50.4,36186,0.16,0.15,2012,0.004,0.9282,0.8153,0.997,0.9939,0.625,0.4661,0.0198,0.0173,0.1515,Stable
11,Yale University,89.1,92.3,91.2,96.7,34.7,55.5,11751,0.04,0.2,2012,0.0045,0.9206,0.9191,0.9141,0.9667,0.347,0.521,0.0064,0.0035,0.202,Stable
12,Columbia University,87.5,89.1,81.8,97.8,63.4,67.6,25055,0.06,0.28,2012,0.0049,0.9032,0.8842,0.819,0.9778,0.634,0.6512,0.0137,0.0058,0.2828,Stable
14,Johns Hopkins University,85.8,78.9,86.5,97.3,100.0,59.9,15128,0.04,0.23,2012,0.0058,0.8847,0.7727,0.8665,0.9727,1.0,0.5684,0.0083,0.0035,0.2323,Stable
16,University of Pennsylvania,84.9,87.0,86.1,97.9,41.9,34.3,20376,0.07,0.2,2012,0.0067,0.8749,0.8612,0.8625,0.9788,0.419,0.2928,0.0112,0.0069,0.202,Stable
19,University of Toronto,81.6,76.9,87.4,86.5,44.9,69.0,66198,0.2,0.15,2012,0.0081,0.839,0.7508,0.8756,0.8636,0.449,0.6663,0.0363,0.022,0.1515,Stable
22,Duke University,77.4,62.6,77.9,97.4,100.0,46.9,15172,0.05,0.17,2012,0.0094,0.7933,0.5945,0.7796,0.9737,1.0,0.4284,0.0083,0.0046,0.1717,Stable
26,Northwestern University,76.2,66.3,75.5,98.6,56.6,35.3,18334,0.14,0.15,2012,0.0112,0.7802,0.635,0.7553,0.9859,0.566,0.3036,0.01,0.015,0.1515,Stable
32,Karolinska Institute,73.1,69.9,73.8,73.1,78.5,82.0,7774,0.12,0.22,2012,0.0139,0.7465,0.6743,0.7381,0.7283,0.785,0.8062,0.0043,0.0127,0.2222,Stable
33,University of California-San Diego,73.0,61.4,72.0,97.8,51.8,31.5,27233,0.07,0.11,2012,0.0143,0.7454,0.5814,0.7199,0.9778,0.518,0.2626,0.0149,0.0069,0.1111,Stable
34,University of Hong Kong,72.3,74.0,80.1,60.5,64.1,83.7,19835,0.18,0.38,2012,0.0148,0.7378,0.7191,0.8018,0.601,0.641,0.8245,0.0109,0.0197,0.3838,Stable
36,University of Edinburgh,72.0,63.0,61.4,92.3,41.3,79.8,25774,0.14,0.36,2012,0.0157,0.7345,0.5989,0.6127,0.9222,0.413,0.7826,0.0141,0.015,0.3636,Stable
37,University of Melbourne,71.9,62.2,72.4,80.7,44.4,82.5,40128,0.24,0.35,2012,0.0161,0.7334,0.5902,0.724,0.8051,0.444,0.8116,0.022,0.0266,0.3535,Stable
45,LMU Munich,67.6,63.8,59.9,84.6,40.7,54.3,35691,0.15,0.13,2012,0.0197,0.6866,0.6077,0.5976,0.8444,0.407,0.5081,0.0196,0.0162,0.1313,Stable
46,�cole Polytechnique F�d�rale de Lausanne,66.3,53.1,43.9,95.3,46.7,98.9,9666,0.1,0.54,2012,0.0202,0.6725,0.4907,0.4358,0.9525,0.467,0.9882,0.0053,0.0104,0.5455,Stable
47,London School of Economics and Political Science,66.0,66.4,75.4,50.6,41.1,96.0,24009,0.14,0.2,2012,0.0206,0.6692,0.6361,0.7543,0.501,0.411,0.9569,0.0132,0.015,0.202,Stable
48,University of Manchester,65.7,59.0,61.1,75.6,37.7,80.4,34938,0.15,0.34,2012,0.021,0.6659,0.5552,0.6097,0.7535,0.377,0.789,0.0191,0.0162,0.3434,Stable
49,Brown University,65.6,59.8,53.6,93.9,34.9,33.4,8653,0.1,0.19,2012,0.0215,0.6649,0.5639,0.5339,0.9384,0.349,0.2831,0.0047,0.0104,0.1919,Stable
52,Kyoto University,64.8,76.4,72.0,56.3,71.7,21.1,22809,0.06,0.07,2012,0.0228,0.6561,0.7454,0.7199,0.5586,0.717,0.1507,0.0125,0.0058,0.0707,Stable
54,Boston University,64.2,60.7,46.2,95.6,27.6,37.2,24789,0.09,0.17,2012,0.0237,0.6496,0.5738,0.459,0.9556,0.276,0.324,0.0136,0.0092,0.1717,Stable
55,University of Southern California,64.0,65.8,48.7,80.2,99.3,41.1,36534,0.13,0.2,2012,0.0242,0.6474,0.6295,0.4843,0.8,0.993,0.366,0.02,0.0139,0.202,Stable
61,University of Zurich,61.9,56.7,45.9,78.4,43.5,87.4,26583,0.07,0.19,2012,0.0269,0.6246,0.5301,0.456,0.7818,0.435,0.8644,0.0146,0.0069,0.1919,Stable
63,�cole Polytechnique,61.5,50.4,38.8,89.1,63.0,86.1,2429,0.05,0.3,2012,0.0278,0.6202,0.4612,0.3842,0.8899,0.63,0.8504,0.0013,0.0046,0.303,Stable
65,McMaster University,61.0,41.9,49.9,85.5,97.5,72.0,23823,0.19,0.15,2012,0.0287,0.6148,0.3683,0.4965,0.8535,0.975,0.6986,0.0131,0.0208,0.1515,Stable
68,Utrecht University,60.4,42.8,53.2,85.7,59.3,58.1,30779,0.15,0.07,2012,0.03,0.6083,0.3781,0.5298,0.8556,0.593,0.549,0.0169,0.0162,0.0707,Stable
75,Emory University,57.4,48.4,39.8,90.9,34.4,37.3,12338,0.04,0.18,2012,0.0331,0.5756,0.4393,0.3943,0.9081,0.344,0.3251,0.0068,0.0035,0.1818,Stable
79,Leiden University,57.0,45.4,55.3,71.7,48.6,54.4,21222,0.17,0.1,2012,0.0349,0.5713,0.4066,0.5511,0.7141,0.486,0.5091,0.0116,0.0185,0.101,Stable
86,University of California-Irvine,55.4,36.2,42.3,93.5,45.6,36.3,26614,0.16,0.16,2012,0.0381,0.5539,0.306,0.4196,0.9343,0.456,0.3143,0.0146,0.0173,0.1616,Stable
87,Uppsala University,55.2,47.2,65.1,53.3,43.4,59.1,25266,0.18,0.12,2012,0.0385,0.5517,0.4262,0.6502,0.5283,0.434,0.5597,0.0138,0.0197,0.1212,Stable
90,Dartmouth College,54.9,44.8,38.7,89.9,50.4,30.6,6178,0.07,0.16,2012,0.0399,0.5484,0.4,0.3832,0.898,0.504,0.253,0.0034,0.0069,0.1616,Stable
91,University of Helsinki,54.8,39.3,54.2,75.1,28.9,46.8,23505,0.15,0.06,2012,0.0403,0.5473,0.3399,0.5399,0.7485,0.289,0.4273,0.0129,0.0162,0.0606,Stable
94,Korea Advanced Institute of Science and Technology (KAIST),54.5,64.2,54.6,47.1,100.0,29.3,9027,0.1,0.09,2012,0.0416,0.5441,0.612,0.544,0.4657,1.0,0.239,0.0049,0.0104,0.0909,Stable
95,University of Maryland-College Park,54.5,41.1,43.6,85.8,28.5,35.3,31331,0.08,0.09,2012,0.0421,0.5441,0.3596,0.4328,0.8566,0.285,0.3036,0.0172,0.0081,0.0909,Stable
96,Michigan State University,54.4,47.4,49.6,73.6,28.0,34.0,44750,0.16,0.15,2012,0.0425,0.543,0.4284,0.4934,0.7333,0.28,0.2896,0.0245,0.0173,0.1515,Stable
100,University of Alberta,53.7,50.6,54.4,51.7,53.7,71.9,36299,0.22,0.23,2012,0.0443,0.5354,0.4634,0.542,0.5121,0.537,0.6975,0.0199,0.0243,0.2323,Stable
101,University of Sheffield,53.6,44.6,46.0,67.5,40.2,68.2,23311,0.15,0.31,2012,0.0448,0.5343,0.3978,0.457,0.6717,0.402,0.6577,0.0128,0.0162,0.3131,Stable
104,Delft University of Technology,53.1,53.5,66.1,31.2,100.0,71.3,15920,0.19,0.25,2012,0.0461,0.5288,0.4951,0.6603,0.3051,1.0,0.6911,0.0087,0.0208,0.2525,Stable
105,University of Montreal,53.1,54.5,47.0,48.7,81.3,79.5,38264,0.2,0.25,2012,0.0466,0.5288,0.506,0.4671,0.4818,0.813,0.7793,0.021,0.022,0.2525,Stable
106,Ghent University,53.0,41.1,52.2,63.4,97.8,47.3,32166,0.34,0.09,2012,0.047,0.5277,0.3596,0.5197,0.6303,0.978,0.4327,0.0176,0.0382,0.0909,Stable
109,Humboldt University of Berlin,52.6,51.3,54.5,50.1,49.2,64.5,29987,0.53,0.16,2012,0.0484,0.5234,0.471,0.543,0.496,0.492,0.6179,0.0164,0.0601,0.1616,Stable
111,University of Basel,52.2,38.9,21.9,86.0,48.6,92.4,12551,0.17,0.24,2012,0.0493,0.519,0.3355,0.2133,0.8586,0.486,0.9182,0.0069,0.0185,0.2424,Stable
123,Indiana University,50.2,46.8,34.5,73.7,48.4,37.7,62468,0.14,0.13,2012,0.0546,0.4973,0.4219,0.3407,0.7343,0.484,0.3294,0.0342,0.015,0.1313,Stable
124,Seoul National University,50.1,64.6,50.8,44.0,42.6,16.3,26389,0.14,0.1,2012,0.0551,0.4962,0.6164,0.5056,0.4343,0.426,0.099,0.0145,0.015,0.101,Stable
125,Aarhus University,50.0,30.7,49.0,64.0,67.0,69.3,23895,0.14,0.14,2012,0.0555,0.4951,0.2459,0.4874,0.6364,0.67,0.6695,0.0131,0.015,0.1414,Stable
128,Queen Mary University of London,49.9,29.0,28.6,83.7,36.6,88.8,14260,0.14,0.4,2012,0.0569,0.494,0.2273,0.2811,0.8354,0.366,0.8794,0.0078,0.015,0.404,Stable
129,University of Southampton,49.9,35.6,35.5,72.5,39.3,78.3,20925,0.14,0.29,2012,0.0573,0.494,0.2995,0.3509,0.7222,0.393,0.7664,0.0115,0.015,0.2929,Stable
131,Lancaster University,49.7,32.6,35.7,75.4,27.5,78.6,11512,0.15,0.33,2012,0.0582,0.4918,0.2667,0.3529,0.7515,0.275,0.7696,0.0063,0.0162,0.3333,Stable
133,University of Leeds,49.5,44.6,43.9,57.1,36.4,64.8,27703,0.15,0.21,2012,0.0591,0.4897,0.3978,0.4358,0.5667,0.364,0.6211,0.0152,0.0162,0.2121,Stable
135,George Washington University,49.0,44.2,33.6,73.2,47.8,38.3,20541,0.12,0.16,2012,0.06,0.4842,0.3934,0.3316,0.7293,0.478,0.3358,0.0113,0.0127,0.1616,Stable
138,Georgetown University,48.0,52.5,40.4,57.7,47.7,29.1,15408,0.09,0.14,2012,0.0614,0.4733,0.4842,0.4004,0.5727,0.477,0.2368,0.0084,0.0092,0.1414,Stable
139,University of Vienna,47.9,49.5,41.2,45.2,25.4,86.6,34651,0.2,0.25,2012,0.0618,0.4723,0.4514,0.4085,0.4465,0.254,0.8558,0.019,0.022,0.2525,Stable
140,University of Nottingham,47.7,40.2,40.0,57.6,36.7,72.6,30144,0.15,0.27,2012,0.0622,0.4701,0.3497,0.3964,0.5717,0.367,0.7051,0.0165,0.0162,0.2727,Stable
146,Newcastle University,47.0,34.2,28.4,72.2,32.3,76.2,20174,0.15,0.29,2012,0.0649,0.4625,0.2842,0.2791,0.7192,0.323,0.7438,0.0111,0.0162,0.2929,Stable
152,Free University of Berlin,46.6,46.3,48.5,42.5,30.6,62.1,33062,0.39,0.2,2012,0.0676,0.4581,0.4164,0.4823,0.4192,0.306,0.592,0.0181,0.0439,0.202,Stable
153,University of Aberdeen,46.6,30.6,32.2,67.7,44.4,84.8,12938,0.16,0.33,2012,0.0681,0.4581,0.2448,0.3175,0.6737,0.444,0.8364,0.0071,0.0173,0.3333,Stable
156,University of Exeter,46.1,31.3,33.3,67.8,35.4,73.4,17755,0.19,0.28,2012,0.0694,0.4527,0.2525,0.3286,0.6747,0.354,0.7137,0.0097,0.0208,0.2828,Stable
157,Erasmus University Rotterdam,46.0,28.8,27.2,77.4,45.0,65.0,20580,0.19,0.18,2012,0.0699,0.4516,0.2251,0.2669,0.7717,0.45,0.6233,0.0113,0.0208,0.1818,Stable
