rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year,rank_n,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n,trend_category
51,Vanderbilt University,65.9,64.9,59.5,78.1,84.2,22.1,12161,0.04,0.1,2011,0.0224,0.6681,0.6197,0.5935,0.7788,0.842,0.1615,0.0067,0.0035,0.101,Declining
52,University of Minnesota,65.6,57.6,69.1,76.4,54.1,23.0,46825,0.18,0.13,2011,0.0228,0.6649,0.5399,0.6906,0.7616,0.541,0.1712,0.0257,0.0197,0.1313,Declining
53,Tufts University,65.2,64.1,52.3,83.9,54.0,28.3,10410,0.1,0.14,2011,0.0233,0.6605,0.6109,0.5207,0.8374,0.54,0.2282,0.0057,0.0104,0.1414,Declining
54,University of California-Davis,65.0,57.3,70.7,68.8,48.0,60.5,35364,0.14,0.13,2011,0.0237,0.6583,0.5366,0.7068,0.6848,0.48,0.5748,0.0194,0.015,0.1313,Declining
56,University of Massachusetts,64.7,61.3,72.6,67.9,53.9,22.6,56959,0.13,0.11,2011,0.0246,0.6551,0.5803,0.726,0.6758,0.539,0.1668,0.0312,0.0139,0.1111,Declining
63,University of Notre Dame,62.8,56.4,45.1,89.1,53.0,35.6,11829,0.14,0.1,2011,0.0278,0.6344,0.5268,0.4479,0.8899,0.53,0.3068,0.0065,0.015,0.101,Declining
65,Case Western Reserve University,62.2,67.2,53.8,66.0,52.9,56.5,9259,0.06,0.17,2011,0.0287,0.6279,0.6448,0.5359,0.6566,0.529,0.5318,0.0051,0.0058,0.1717,Declining
67,University of Colorado Boulder,61.6,46.4,58.1,83.4,52.7,31.7,29325,0.16,0.08,2011,0.0296,0.6213,0.4175,0.5794,0.8323,0.527,0.2648,0.0161,0.0173,0.0808,Declining
68,University of Bristol,61.4,49.6,53.1,80.9,36.2,67.2,17906,0.14,0.25,2011,0.03,0.6192,0.4525,0.5288,0.8071,0.362,0.6469,0.0098,0.015,0.2525,Declining
69,University of California-Santa Cruz,61.4,38.3,50.4,99.6,52.6,16.7,17404,0.23,0.01,2011,0.0305,0.6192,0.329,0.5015,0.996,0.526,0.1033,0.0095,0.0254,0.0101,Declining
75,William & Mary,60.4,53.1,36.1,95.6,52.1,20.9,7867,0.12,0.07,2011,0.0331,0.6083,0.4907,0.3569,0.9556,0.521,0.1485,0.0043,0.0127,0.0707,Declining
76,Trinity College Dublin,60.3,47.7,45.3,84.4,31.6,84.2,15521,0.18,0.25,2011,0.0336,0.6072,0.4317,0.4499,0.8424,0.316,0.8299,0.0085,0.0197,0.2525,Declining
78,Stony Brook University,59.6,48.5,43.6,85.8,51.9,52.2,21908,0.11,0.24,2011,0.0345,0.5996,0.4404,0.4328,0.8566,0.519,0.4855,0.012,0.0116,0.2424,Declining
80,University of Sussex,59.5,42.4,42.4,91.6,29.1,72.8,12001,0.17,0.35,2011,0.0354,0.5985,0.3738,0.4206,0.9152,0.291,0.7072,0.0066,0.0185,0.3535,Declining
82,University of York,59.1,47.9,46.2,81.9,36.2,66.6,24332,0.16,0.2,2011,0.0363,0.5941,0.4339,0.459,0.8172,0.362,0.6405,0.0133,0.0173,0.202,Declining
84,University of Utah,59.0,55.8,54.2,72.0,51.5,22.5,25674,0.17,0.09,2011,0.0372,0.593,0.5202,0.5399,0.7172,0.515,0.1658,0.0141,0.0185,0.0909,Declining
85,Durham University,58.9,39.8,44.1,91.0,33.9,65.7,15489,0.16,0.24,2011,0.0376,0.5919,0.3454,0.4378,0.9091,0.339,0.6308,0.0085,0.0173,0.2424,Declining
88,Royal Holloway-University of London,57.9,37.7,36.2,93.2,30.5,92.9,8747,0.16,0.37,2011,0.039,0.5811,0.3224,0.3579,0.9313,0.305,0.9236,0.0048,0.0173,0.3737,Declining
89,Lund University,57.8,46.3,60.8,67.6,33.2,56.8,28251,0.12,0.15,2011,0.0394,0.58,0.4164,0.6067,0.6727,0.332,0.535,0.0155,0.0127,0.1515,Declining
92,Wake Forest University,57.7,54.6,42.9,79.2,51.0,24.4,7326,0.05,0.05,2011,0.0408,0.5789,0.5071,0.4257,0.7899,0.51,0.1862,0.004,0.0046,0.0505,Declining
94,University College Dublin,57.5,42.4,36.6,86.3,50.9,87.0,22193,0.24,0.23,2011,0.0416,0.5767,0.3738,0.362,0.8616,0.509,0.8601,0.0122,0.0266,0.2323,Declining
96,University of Arizona,57.3,52.4,52.2,70.1,84.2,21.9,36429,0.13,0.08,2011,0.0425,0.5745,0.4831,0.5197,0.698,0.842,0.1593,0.02,0.0139,0.0808,Declining
100,�cole Normale Sup�rieure de Lyon,57.0,51.1,34.4,88.8,26.1,37.6,2218,0.08,0.14,2011,0.0443,0.5713,0.4689,0.3397,0.8869,0.261,0.3283,0.0012,0.0081,0.1414,Declining
103,University of St Andrews,56.5,44.8,47.7,72.9,32.6,85.7,8338,0.13,0.47,2011,0.0457,0.5658,0.4,0.4742,0.7263,0.326,0.8461,0.0046,0.0139,0.4747,Declining
104,Rensselaer Polytechnic Institute,56.4,50.5,54.6,64.9,50.3,48.0,6671,0.15,0.16,2011,0.0461,0.5647,0.4623,0.544,0.6455,0.503,0.4403,0.0037,0.0162,0.1616,Declining
107,National Tsing Hua University,56.1,52.2,52.6,66.9,50.2,34.1,10221,0.14,0.05,2011,0.0475,0.5615,0.4809,0.5238,0.6657,0.502,0.2906,0.0056,0.015,0.0505,Declining
108,University of Cape Town,56.1,36.6,42.1,82.8,50.1,83.3,20040,0.12,0.18,2011,0.0479,0.5615,0.3104,0.4176,0.8263,0.501,0.8202,0.011,0.0127,0.1818,Declining
111,Hong Kong Baptist University,55.6,32.9,32.5,97.6,26.7,71.8,10441,0.11,0.25,2011,0.0493,0.556,0.2699,0.3205,0.9758,0.267,0.6964,0.0057,0.0116,0.2525,Declining
112,Bilkent University,55.4,34.3,36.1,95.7,32.4,47.7,24859,0.17,0.2,2011,0.0497,0.5539,0.2852,0.3569,0.9566,0.324,0.437,0.0136,0.0185,0.202,Declining
113,Tokyo Institute of Technology,55.4,62.9,63.4,45.5,60.5,24.8,9586,0.07,0.13,2011,0.0502,0.5539,0.5978,0.633,0.4495,0.605,0.1905,0.0053,0.0069,0.1313,Declining
114,Eindhoven University of Technology,55.3,55.4,51.7,56.9,99.8,44.9,8176,0.16,0.14,2011,0.0506,0.5528,0.5158,0.5147,0.5646,0.998,0.4069,0.0045,0.0173,0.1414,Declining
117,University of California-Riverside,55.1,38.6,47.4,78.3,30.5,63.0,20626,0.22,0.12,2011,0.0519,0.5506,0.3322,0.4712,0.7808,0.305,0.6017,0.0113,0.0243,0.1212,Declining
118,University of Geneva,55.0,46.6,49.7,63.1,32.7,95.7,15668,0.15,0.39,2011,0.0524,0.5495,0.4197,0.4944,0.6273,0.327,0.9537,0.0086,0.0162,0.3939,Declining
123,Technical University of Denmark,54.5,46.2,46.9,64.6,95.5,64.0,9990,0.05,0.18,2011,0.0546,0.5441,0.4153,0.4661,0.6424,0.955,0.6125,0.0055,0.0046,0.1818,Declining
129,Stockholm University,54.0,36.9,49.2,75.9,31.7,51.9,31715,0.24,0.08,2011,0.0573,0.5386,0.3137,0.4894,0.7566,0.317,0.4822,0.0174,0.0266,0.0808,Declining
130,Osaka University,53.4,61.7,63.4,40.0,73.4,20.1,23144,0.08,0.09,2011,0.0578,0.5321,0.5847,0.633,0.3939,0.734,0.1399,0.0127,0.0081,0.0909,Declining
131,University of Victoria,53.4,32.9,48.3,79.1,27.4,51.8,17581,0.21,0.11,2011,0.0582,0.5321,0.2699,0.4803,0.7889,0.274,0.4812,0.0096,0.0231,0.1111,Declining
132,Tohoku University,53.3,60.3,62.5,41.2,82.3,20.1,17200,0.05,0.07,2011,0.0587,0.531,0.5694,0.6239,0.4061,0.823,0.1399,0.0094,0.0046,0.0707,Declining
134,University of Iowa,53.3,48.6,59.8,54.8,48.9,31.7,27526,0.12,0.11,2011,0.0596,0.531,0.4415,0.5966,0.5434,0.489,0.2648,0.0151,0.0127,0.1111,Declining
136,University of Lausanne,52.6,43.1,50.5,59.1,42.5,84.1,11964,0.13,0.22,2011,0.0605,0.5234,0.3814,0.5025,0.5869,0.425,0.8288,0.0066,0.0139,0.2222,Declining
147,Alexandria University,51.6,29.5,28.0,99.8,36.0,19.3,127431,0.23,0.01,2011,0.0654,0.5125,0.2328,0.275,0.998,0.36,0.1313,0.0698,0.0254,0.0101,Declining
152,Birkbeck-University of London,51.2,41.2,35.8,70.6,27.4,88.5,9454,0.17,0.38,2011,0.0676,0.5082,0.3607,0.3539,0.703,0.274,0.8762,0.0052,0.0185,0.3838,Declining
157,Iowa State University,51.0,49.3,49.6,58.2,49.6,23.2,29991,0.17,0.11,2011,0.0699,0.506,0.4492,0.4934,0.5778,0.496,0.1733,0.0164,0.0185,0.1111,Declining
160,University of Delaware,50.4,38.4,51.9,61.3,100.0,16.8,19262,0.16,0.1,2011,0.0712,0.4995,0.3301,0.5167,0.6091,1.0,0.1044,0.0106,0.0173,0.101,Declining
163,National Sun Yat-Sen University,50.2,46.1,50.6,58.9,37.5,21.3,9336,0.2,0.04,2011,0.0725,0.4973,0.4142,0.5035,0.5848,0.375,0.1529,0.0051,0.022,0.0404,Declining
172,Goethe University Frankfurt,49.4,39.2,37.3,69.5,41.6,56.1,31861,0.09,0.15,2011,0.0766,0.4886,0.3388,0.3691,0.6919,0.416,0.5274,0.0175,0.0092,0.1515,Declining
175,University of East Anglia,49.0,42.1,40.4,62.8,29.7,62.8,14992,0.15,0.28,2011,0.0779,0.4842,0.3705,0.4004,0.6242,0.297,0.5996,0.0082,0.0162,0.2828,Declining
181,National Chiao Tung University,48.3,53.2,54.4,32.9,98.7,57.9,12646,0.17,0.05,2011,0.0806,0.4766,0.4918,0.542,0.3222,0.987,0.5468,0.0069,0.0185,0.0505,Declining
183,Middle East Technical University,47.7,39.5,39.5,66.4,43.9,27.2,25779,0.22,0.07,2011,0.0815,0.4701,0.3421,0.3913,0.6606,0.439,0.2164,0.0141,0.0243,0.0707,Declining
185,University of Twente,47.5,49.9,48.3,42.0,49.8,62.4,6631,0.12,0.26,2011,0.0824,0.4679,0.4557,0.4803,0.4141,0.498,0.5953,0.0036,0.0127,0.2626,Declining
188,University of Innsbruck,47.2,37.9,34.8,60.2,35.0,99.5,18209,0.17,0.39,2011,0.0837,0.4646,0.3246,0.3438,0.598,0.35,0.9946,0.01,0.0185,0.3939,Declining
190,Drexel University,46.9,45.0,35.9,58.2,27.4,60.6,20713,0.11,0.18,2011,0.0846,0.4614,0.4022,0.3549,0.5778,0.274,0.5759,0.0114,0.0116,0.1818,Declining
193,Dalhousie University,46.8,41.6,50.2,48.8,46.9,44.9,15064,0.14,0.18,2011,0.086,0.4603,0.365,0.4995,0.4828,0.469,0.4069,0.0083,0.015,0.1818,Declining
200,Swedish University of Agricultural Sciences,46.2,43.3,49.5,41.7,99.9,50.0,3879,0.05,0.2,2011,0.0891,0.4538,0.3836,0.4924,0.4111,0.999,0.4618,0.0021,0.0046,0.202,Declining
1,California Institute of Technology,94.8,95.7,98.2,99.9,97.0,56.0,2243,0.07,0.27,2012,0.0,0.9826,0.9563,0.9848,0.999,0.97,0.5264,0.0012,0.0069,0.2727,Declining
5,Princeton University,92.9,91.5,99.1,100.0,81.0,49.6,7929,0.08,0.27,2012,0.0018,0.9619,0.9104,0.9939,1.0,0.81,0.4575,0.0043,0.0081,0.2727,Declining
8,Imperial College London,90.7,88.8,88.7,93.9,93.1,92.2,15060,0.12,0.51,2012,0.0031,0.938,0.8809,0.8888,0.9384,0.931,0.916,0.0083,0.0127,0.5152,Declining
13,University of California-Los Angeles,87.3,85.9,92.5,97.3,62.9,41.0,38206,0.1,0.15,2012,0.0054,0.901,0.8492,0.9272,0.9727,0.629,0.3649,0.0209,0.0104,0.1515,Declining
20,Cornell University,80.5,70.4,87.2,93.5,60.1,53.4,21424,0.1,0.19,2012,0.0085,0.827,0.6798,0.8736,0.9343,0.601,0.4984,0.0117,0.0104,0.1919,Declining
21,Carnegie Mellon University,78.4,65.7,79.5,97.4,60.7,55.0,11885,0.13,0.35,2012,0.009,0.8041,0.6284,0.7958,0.9737,0.607,0.5156,0.0065,0.0139,0.3535,Declining
23,University of British Columbia,77.4,68.6,78.6,85.2,40.6,88.7,50152,0.18,0.25,2012,0.0099,0.7933,0.6601,0.7867,0.8505,0.406,0.8784,0.0275,0.0197,0.2525,Declining
24,Georgia Institute of Technology,77.0,66.6,73.8,91.9,99.2,65.0,19967,0.2,0.26,2012,0.0103,0.7889,0.6383,0.7381,0.9182,0.992,0.6233,0.0109,0.022,0.2626,Declining
25,University of Washington,76.5,70.8,74.0,98.2,31.8,36.9,44020,0.12,0.13,2012,0.0107,0.7835,0.6842,0.7401,0.9818,0.318,0.3208,0.0241,0.0127,0.1313,Declining
27,University of Wisconsin-Madison,75.8,74.3,77.3,90.6,55.3,23.8,39655,0.11,0.11,2012,0.0116,0.7758,0.7224,0.7735,0.9051,0.553,0.1798,0.0217,0.0116,0.1111,Declining
28,McGill University,75.5,72.8,78.4,77.1,35.1,81.4,31326,0.14,0.23,2012,0.0121,0.7726,0.706,0.7846,0.7687,0.351,0.7998,0.0172,0.015,0.2323,Declining
29,University of Texas at Austin,74.9,69.5,76.1,89.6,57.7,38.8,49427,0.17,0.09,2012,0.0125,0.7661,0.6699,0.7614,0.8949,0.577,0.3412,0.0271,0.0185,0.0909,Declining
31,University of Illinois at Urbana-Champaign,74.2,67.9,81.3,81.5,57.3,50.7,42727,0.19,0.2,2012,0.0134,0.7584,0.6525,0.814,0.8131,0.573,0.4693,0.0234,0.0208,0.202,Declining
35,University of California-Santa Barbara,72.1,55.0,65.3,99.9,85.0,52.6,22020,0.27,0.11,2012,0.0152,0.7356,0.5115,0.6522,0.999,0.85,0.4898,0.0121,0.0301,0.1111,Declining
38,Australian National University,71.2,62.8,75.1,72.6,41.7,93.8,14604,0.19,0.35,2012,0.0166,0.7258,0.5967,0.7513,0.7232,0.417,0.9333,0.008,0.0208,0.3535,Declining
39,University of California-Davis,71.2,68.0,68.7,83.4,52.5,51.4,35364,0.14,0.13,2012,0.017,0.7258,0.6536,0.6866,0.8323,0.525,0.4769,0.0194,0.015,0.1313,Declining
41,Washington University in St Louis,70.5,64.0,58.9,96.1,55.5,45.7,12528,0.06,0.17,2012,0.0179,0.7182,0.6098,0.5875,0.9606,0.555,0.4155,0.0069,0.0058,0.1717,Declining
42,University of Minnesota,70.0,66.1,72.5,85.4,55.4,25.6,46825,0.18,0.13,2012,0.0184,0.7127,0.6328,0.725,0.8525,0.554,0.1991,0.0257,0.0197,0.1313,Declining
43,University of North Carolina at Chapel Hill,69.3,67.6,62.6,92.6,35.5,20.2,26518,0.07,0.08,2012,0.0188,0.7051,0.6492,0.6249,0.9253,0.355,0.141,0.0145,0.0069,0.0808,Declining
64,University of Massachusetts,61.1,54.0,58.3,80.1,53.2,27.3,56959,0.13,0.11,2012,0.0282,0.6159,0.5005,0.5814,0.799,0.532,0.2174,0.0312,0.0139,0.1111,Declining
66,University of Bristol,60.9,44.2,47.7,89.9,34.8,73.7,17906,0.14,0.25,2012,0.0291,0.6137,0.3934,0.4742,0.898,0.348,0.7169,0.0098,0.015,0.2525,Declining
69,University of G�ttingen,60.3,51.4,50.9,84.1,32.7,48.0,25581,0.26,0.12,2012,0.0305,0.6072,0.4721,0.5066,0.8394,0.327,0.4403,0.014,0.0289,0.1212,Declining
70,Vanderbilt University,59.6,52.1,47.6,86.8,64.4,26.8,12161,0.04,0.1,2012,0.0309,0.5996,0.4798,0.4732,0.8667,0.644,0.2121,0.0067,0.0035,0.101,Declining
72,Rice University,59.0,45.9,38.0,99.9,36.2,39.7,6333,0.09,0.26,2012,0.0318,0.593,0.412,0.3761,0.999,0.362,0.3509,0.0035,0.0092,0.2626,Declining
77,Tufts University,57.3,45.8,37.4,94.5,35.4,41.3,10410,0.1,0.14,2012,0.034,0.5745,0.4109,0.3701,0.9444,0.354,0.3681,0.0057,0.0104,0.1414,Declining
78,University of Colorado Boulder,57.3,39.5,42.6,98.2,51.4,30.8,29325,0.16,0.08,2012,0.0345,0.5745,0.3421,0.4226,0.9818,0.514,0.2551,0.0161,0.0173,0.0808,Declining
80,Lund University,56.9,40.4,58.5,72.8,32.6,61.2,28251,0.12,0.15,2012,0.0354,0.5702,0.3519,0.5834,0.7253,0.326,0.5823,0.0155,0.0127,0.1515,Declining
82,University of Rochester,56.8,47.0,33.5,94.5,36.4,45.7,9390,0.04,0.26,2012,0.0363,0.5691,0.424,0.3306,0.9444,0.364,0.4155,0.0051,0.0035,0.2626,Declining
83,Durham University,56.4,32.5,37.9,96.2,30.5,75.8,15489,0.16,0.24,2012,0.0367,0.5647,0.2656,0.3751,0.9616,0.305,0.7395,0.0085,0.0173,0.2424,Declining
85,University of St Andrews,55.7,37.1,40.2,83.0,34.1,89.1,8338,0.13,0.47,2012,0.0376,0.5571,0.3158,0.3984,0.8283,0.341,0.8827,0.0046,0.0139,0.4747,Declining
89,University of Notre Dame,55.0,42.6,36.2,94.1,27.3,33.1,11829,0.14,0.1,2012,0.0394,0.5495,0.376,0.3579,0.9404,0.273,0.2799,0.0065,0.015,0.101,Declining
93,Case Western Reserve University,54.6,54.2,40.2,78.4,50.2,29.9,9259,0.06,0.17,2012,0.0412,0.5452,0.5027,0.3984,0.7818,0.502,0.2454,0.0051,0.0058,0.1717,Declining
97,University of Arizona,54.2,45.1,43.0,78.3,86.0,28.4,36429,0.13,0.08,2012,0.043,0.5408,0.4033,0.4267,0.7808,0.86,0.2293,0.02,0.0139,0.0808,Declining
99,University of Sussex,53.9,30.6,34.8,92.0,28.1,79.8,12001,0.17,0.35,2012,0.0439,0.5375,0.2448,0.3438,0.9192,0.281,0.7826,0.0066,0.0185,0.3535,Declining
103,University of Cape Town,53.2,34.3,41.1,75.3,97.5,73.9,20040,0.12,0.18,2012,0.0457,0.5299,0.2852,0.4075,0.7505,0.975,0.7191,0.011,0.0127,0.1818,Declining
107,Royal Holloway-University of London,52.9,28.6,24.1,98.2,25.9,93.3,8747,0.16,0.37,2012,0.0475,0.5267,0.223,0.2356,0.9818,0.259,0.9279,0.0048,0.0173,0.3737,Declining
108,Tokyo Institute of Technology,52.8,56.0,58.9,49.5,66.3,24.9,9586,0.07,0.13,2012,0.0479,0.5256,0.5224,0.5875,0.4899,0.663,0.1916,0.0053,0.0069,0.1313,Declining
110,University of California-Santa Cruz,52.5,28.5,36.6,99.9,29.5,29.8,17404,0.23,0.01,2012,0.0488,0.5223,0.2219,0.362,0.999,0.295,0.2443,0.0095,0.0254,0.0101,Declining
113,University of Utah,51.9,42.1,41.0,82.3,49.0,23.3,25674,0.17,0.09,2012,0.0502,0.5158,0.3705,0.4065,0.8212,0.49,0.1744,0.0141,0.0185,0.0909,Declining
114,Stony Brook University,51.4,37.7,28.7,88.3,29.2,56.5,21908,0.11,0.24,2012,0.0506,0.5103,0.3224,0.2821,0.8818,0.292,0.5318,0.012,0.0116,0.2424,Declining
115,Eindhoven University of Technology,51.3,35.6,48.0,62.1,100.0,67.3,8176,0.16,0.14,2012,0.0511,0.5092,0.2995,0.4772,0.6172,1.0,0.648,0.0045,0.0173,0.1414,Declining
116,University of Lausanne,51.2,27.5,40.4,77.8,40.3,86.7,11964,0.13,0.22,2012,0.0515,0.5082,0.2109,0.4004,0.7758,0.403,0.8568,0.0066,0.0139,0.2222,Declining
118,Trinity College Dublin,51.1,30.3,23.5,91.7,29.7,89.4,15521,0.18,0.25,2012,0.0524,0.5071,0.2415,0.2295,0.9162,0.297,0.8859,0.0085,0.0197,0.2525,Declining
119,Osaka University,51.0,61.8,56.5,40.0,75.0,21.1,23144,0.08,0.09,2012,0.0528,0.506,0.5858,0.5632,0.3939,0.75,0.1507,0.0127,0.0081,0.0909,Declining
120,Tohoku University,50.8,57.7,55.7,42.9,78.9,25.6,17200,0.05,0.07,2012,0.0533,0.5038,0.541,0.5551,0.4232,0.789,0.1991,0.0094,0.0046,0.0707,Declining
121,Hebrew University of Jerusalem,50.4,47.7,56.4,48.4,25.0,53.0,17612,0.11,0.05,2012,0.0537,0.4995,0.4317,0.5622,0.4788,0.25,0.4941,0.0097,0.0116,0.0505,Declining
122,University of York,50.4,36.7,38.8,71.6,33.9,72.7,23853,0.17,0.2,2012,0.0542,0.4995,0.3115,0.3842,0.7131,0.339,0.7061,0.0131,0.0185,0.202,Declining
126,University of Florida,50.0,46.7,59.9,50.9,48.3,25.9,50095,0.19,0.09,2012,0.056,0.4951,0.4208,0.5976,0.504,0.483,0.2024,0.0275,0.0208,0.0909,Declining
130,University of Geneva,49.8,34.9,39.0,65.1,32.7,97.5,15668,0.15,0.39,2012,0.0578,0.4929,0.2918,0.3862,0.6475,0.327,0.9731,0.0086,0.0162,0.3939,Declining
132,Stockholm University,49.7,25.0,36.0,90.2,26.8,48.8,31715,0.24,0.08,2012,0.0587,0.4918,0.1836,0.3559,0.901,0.268,0.4489,0.0174,0.0266,0.0808,Declining
141,University of Iowa,47.6,47.7,42.1,61.3,47.6,21.9,27526,0.12,0.11,2012,0.0627,0.469,0.4317,0.4176,0.6091,0.476,0.1593,0.0151,0.0127,0.1111,Declining
142,�cole Normale Sup�rieure de Lyon,47.6,35.3,21.4,85.1,25.1,58.8,2218,0.08,0.14,2012,0.0631,0.469,0.2962,0.2083,0.8495,0.251,0.5565,0.0012,0.0081,0.1414,Declining
143,University of California-Riverside,47.5,27.8,30.9,89.6,31.0,30.0,20626,0.22,0.12,2012,0.0636,0.4679,0.2142,0.3043,0.8949,0.31,0.2465,0.0113,0.0243,0.1212,Declining
144,Rensselaer Polytechnic Institute,47.4,31.7,40.4,73.6,49.0,32.7,6671,0.15,0.16,2012,0.064,0.4668,0.2568,0.4004,0.7333,0.49,0.2756,0.0037,0.0162,0.1616,Declining
145,University of East Anglia,47.3,26.5,26.1,85.6,28.0,68.5,14992,0.15,0.28,2012,0.0645,0.4657,0.2,0.2558,0.8545,0.28,0.6609,0.0082,0.0162,0.2828,Declining
147,William & Mary,47.0,40.0,18.9,90.7,27.0,19.7,7867,0.12,0.07,2012,0.0654,0.4625,0.3475,0.183,0.9061,0.27,0.1356,0.0043,0.0127,0.0707,Declining
149,Birkbeck-University of London,46.8,25.9,25.8,80.8,25.1,85.3,9454,0.17,0.38,2012,0.0663,0.4603,0.1934,0.2528,0.8061,0.251,0.8418,0.0052,0.0185,0.3838,Declining
150,Brandeis University,46.7,25.3,27.3,90.2,33.7,40.3,5495,0.13,0.22,2012,0.0667,0.4592,0.1869,0.2679,0.901,0.337,0.3574,0.003,0.0139,0.2222,Declining
160,University College Dublin,45.9,25.2,23.7,80.5,32.3,83.2,22193,0.24,0.23,2012,0.0712,0.4505,0.1858,0.2315,0.803,0.323,0.8192,0.0122,0.0266,0.2323,Declining
163,Wake Forest University,45.8,36.4,21.6,86.1,49.1,17.2,7326,0.05,0.05,2012,0.0725,0.4494,0.3082,0.2103,0.8596,0.491,0.1087,0.004,0.0046,0.0505,Declining
164,Texas A&M University,45.7,42.3,51.8,45.7,43.8,36.0,50657,0.21,0.09,2012,0.073,0.4483,0.3727,0.5157,0.4515,0.438,0.3111,0.0278,0.0231,0.0909,Declining
173,Queen s University,44.6,39.7,36.1,49.3,87.5,65.0,20488,0.22,0.1,2012,0.077,0.4363,0.3443,0.3569,0.4879,0.875,0.6233,0.0112,0.0243,0.101,Declining
177,University of Victoria,44.2,16.8,31.5,79.2,26.8,70.5,17581,0.21,0.11,2012,0.0788,0.432,0.094,0.3104,0.7899,0.268,0.6825,0.0096,0.0231,0.1111,Declining
178,Technical University of Denmark,44.1,31.9,24.1,66.8,95.7,65.2,9990,0.05,0.18,2012,0.0793,0.4309,0.259,0.2356,0.6646,0.957,0.6254,0.0055,0.0046,0.1818,Declining
